username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CricketNDTV;2016-04-14 03:38;30;40;"#FantasyCricket just got face-lift. Use your cricket acumen to win real cash daily. #IPL2016 http:// goo.gl/uGtVwp pic.twitter.com/OR1aX1c5jn";;;#FantasyCricket #IPL2016;"720561826988052480";https://twitter.com/CricketNDTV/status/720561826988052480
cricbuzz;2016-04-14 00:10;20;82;"Great to have Rohit at the other end. He had everything under control - Jos Buttler http://www. cricbuzz.com/cricket-news/7 9303/rohit-sharmas-calmness-helps-jos-buttler-perform-well-in-ipl-2016-match-kolkata-knight-riders-kkr-vs-mumbai-indians-mi #IPL2016 pic.twitter.com/bLZynE8Vxn";;;#IPL2016;"720509440840089601";https://twitter.com/cricbuzz/status/720509440840089601
ImRainaTeam;2016-04-13 23:01;51;181;"Big match today #GLvRPS Battle between two brothers Good Luck for both teams May the best team win #IPL2016 pic.twitter.com/7kroJY6Xr1";Sri Lanka;;#GLvRPS #IPL2016;"720492142284664832";https://twitter.com/ImRainaTeam/status/720492142284664832
Thearjunbijlani;2016-04-13 11:31;63;278;"Congratulations #MumbaiIndians ..although I love @iamsrk but happy to see u guys win.hope @mumbaitigers_ also wins the next match #IPL2016";;@iamsrk @mumbaitigers_;#MumbaiIndians #IPL2016;"720318386983428097";https://twitter.com/Thearjunbijlani/status/720318386983428097
MichaelVaughan;2016-04-13 10:46;178;429;"The best signing of the @IPL by a country mile ... @josbuttler .... My boys @mipaltan are on fire tonight ... #IPL2016";;@IPL @josbuttler @mipaltan;#IPL2016;"720307156931715073";https://twitter.com/MichaelVaughan/status/720307156931715073
HaramiParindey;2016-04-13 08:22;70;69;"Even on his bad days, Gautam Gambhir is a 10 X better batsman than Shikhar Dhawan. Better range of shots and great temperament. #IPL2016";;;#IPL2016;"720270904811499521";https://twitter.com/HaramiParindey/status/720270904811499521
IMeerage;2016-04-13 06:03;47;9;"#IndianPaaniLeague humanity won! #IPL2016 Get lost out of Maharashtra https:// twitter.com/mataonline/sta tus/720235369338314752 ";;;#IndianPaaniLeague #IPL2016;"720235877360803841";https://twitter.com/IMeerage/status/720235877360803841
sri50;2016-04-13 04:52;31;89;"#IPL2016 Bombay High Court says all IPL games in Maharashtra should be shifted out after April 30! It means finals will also b shifted out";;;#IPL2016;"720218163640569856";https://twitter.com/sri50/status/720218163640569856
DaikinIndia;2016-04-13 04:32;25;54;"It's finally here! Watch the excitement unfold: http:// goo.gl/izHgnE . @DelhiDaredevils #IPL2016 #LiveWithGoodness pic.twitter.com/xqasJcIlAj";;@DelhiDaredevils;#IPL2016 #LiveWithGoodness;"720212956122857474";https://twitter.com/DaikinIndia/status/720212956122857474
IndiaToday;2016-04-12 22:26;18;31;"#IPL2016 Injured Ashish Nehra to miss couple of games, says David Warner http:// indiatoday.intoday.in/ipl2016/story/ injured-ashish-nehra-to-miss-couple-of-games-says-david-warner/1/641486.html pic.twitter.com/kYqEH93TBr";;;#IPL2016;"720120886154698752";https://twitter.com/IndiaToday/status/720120886154698752
ImRainaTeam;2016-04-12 21:53;37;118;"DP changed to support Gujarat Lions #RoarWithRaina #IPL2016 pic.twitter.com/g2YZQHJATU";Sri Lanka;;#RoarWithRaina #IPL2016;"720112614433550339";https://twitter.com/ImRainaTeam/status/720112614433550339
ESPNcricinfo;2016-04-12 20:06;15;87;"Warped by Kohli-ABD stand, Sunrisers' strategy Fizz-les out http:// es.pn/1V07voZ #IPL2016";;;#IPL2016;"720085721969737729";https://twitter.com/ESPNcricinfo/status/720085721969737729
ESPNcricinfo;2016-04-12 10:56;17;79;"Rohit eager to open for rest of #IPL2016 http:// es.pn/1oUGdCc";;;#IPL2016;"719947204115476480";https://twitter.com/ESPNcricinfo/status/719947204115476480
ravimaestri;2016-04-12 09:39;11;24;"There are players who scores for their country. There are players who scores for their club. And then there is Shikhar Dhawan #IPL2016";;;#IPL2016;"719928049731563522";https://twitter.com/ravimaestri/status/719928049731563522
SirJadeja;2016-04-12 09:16;413;1318;"Great Gesture By Virat Kohli For Sarfaraz Khan. So Down To Earth. #LEGEND #RCBvSRH #SRHvsRCB #IPL #IPL2016 pic.twitter.com/6GxOjEPdaz";;;#LEGEND #RCBvSRH #SRHvsRCB #IPL #IPL2016;"719922133883703298";https://twitter.com/SirJadeja/status/719922133883703298
sanjaymanjrekar;2016-04-12 09:14;176;520;"On a batting venue it will be batsmen in the spotlight. So my man was Mustafizur Rehman. On debut, brilliant once again. #IPL2016 #RCBvSRH";;;#IPL2016 #RCBvSRH;"719921747424718848";https://twitter.com/sanjaymanjrekar/status/719921747424718848
ESPNcricinfo;2016-04-12 09:09;28;69;"SRH dismissed Watson and AB in the 18th over. Didn't matter as RCB pummelled 44 off the last 15 balls http:// es.pn/25X4tpc #IPL2016";;;#IPL2016;"719920433252999168";https://twitter.com/ESPNcricinfo/status/719920433252999168
MohitParmarr;2016-04-12 08:49;8;16;"RCB batsmen are batting like they have Varun Aaron in their playing XI. #IPL2016";;;#IPL2016;"719915320715005952";https://twitter.com/MohitParmarr/status/719915320715005952
Sportskeeda;2016-04-12 08:40;25;113;"The best T20 bowler at the moment- @DJBravo47 #IPL2016 pic.twitter.com/EL17vikfWD";;@DJBravo47;#IPL2016;"719912961830215680";https://twitter.com/Sportskeeda/status/719912961830215680
SeerviBharath;2016-04-12 08:35;4;6;"This is now the highest partnership for any wicket against SRH. Prev highest: 133 Hussey-Raina, 2013 #SRHvsRCB #IPL2016";Mumbai, India;;#SRHvsRCB #IPL2016;"719911745351917568";https://twitter.com/SeerviBharath/status/719911745351917568
sanjaymanjrekar;2016-04-12 08:31;92;222;"Drop everything & watch this ! AB & Virat are in full flow. #IPL2016 #RCBvSRH";;;#IPL2016 #RCBvSRH;"719910801591545856";https://twitter.com/sanjaymanjrekar/status/719910801591545856
